bit,prime,n_offset,n_full,deviation,is_best,hits,hit_ratio_%,avg_minors,wc_offset,wc_full
25,33547861,15,75,5,False,38/100,38.0,18357175.98,6435,1984829850
25,33547861,15,75,6,True,54/100,54.0,30061574.4,6435,16871053725
25,33547861,15,75,7,False,40/100,40.0,30003642.24,5005,125595622175
26,44914307,15,78,5,False,34/100,34.0,19569710.16,6435,2641902120
26,44914307,15,78,6,True,47/100,47.0,28866140.16,6435,23446881315
26,44914307,15,78,7,False,40/100,40.0,30274838.88,5005,182364632450
27,134218103,16,81,6,False,50/100,50.0,91484052.66,12870,32164253550
27,134218103,16,81,7,True,52/100,52.0,122248663.68,11440,260887834350
27,134218103,16,81,8,False,36/100,36.0,103592719.23,8008,1878392407320
28,268431881,16,84,5,False,19/100,19.0,53991497.56,11440,4529365776
28,268431881,16,84,6,True,26/100,26.0,110946375.54,12870,43595145594
28,268431881,16,84,7,False,21/100,21.0,157829717.76,11440,368136785016
29,536856223,17,87,5,False,16/100,16.0,132400948.68,19448,5843355957
29,536856223,17,87,6,True,50/100,50.0,296776480.0,24310,58433559570
29,536856223,17,87,7,False,46/100,46.0,473610594.6,24310,512916800670
30,1073680219,18,90,7,False,71/100,71.0,1228275276.8,48620,706252528630
30,1073680219,18,90,8,True,81/100,81.0,1198018364.4,43758,5720645481903
30,1073680219,18,90,9,False,54/100,54.0,1395938086.4,31824,41604694413840
31,2147461499,18,93,6,False,38/100,38.0,834140186.88,43758,101841441273
31,2147461499,18,93,7,True,52/100,52.0,1575994534.4,48620,961835834245
31,2147461499,18,93,8,False,49/100,49.0,2029662577.8,43758,8079421007658
32,4294884101,19,96,7,False,68/100,68.0,3830895045.12,92378,1296543270880
32,4294884101,19,96,8,True,80/100,80.0,4664418044.0,92378,11279926456656
32,4294884101,19,96,9,False,67/100,67.0,5497435686.6,75582,88188515933856
33,8589937303,19,99,7,False,36/100,36.0,5569098163.2,92378,1731030945644
33,8589937303,19,99,8,True,54/100,54.0,7276079753.8,92378,15579278510796
33,8589937303,19,99,9,False,53/100,53.0,6472546251.6,75582,126050526132804
34,17179972091,20,102,8,False,70/100,70.0,20029627640.88,184756,21300860967540
34,17179972091,20,102,9,True,73/100,73.0,23048896384.8,167960,178152655364880
34,17179972091,20,102,10,False,59/100,59.0,20915404206.84,125970,1350990969850340
35,34359687877,21,105,4,False,0/100,0.0,300467520.0,54264,1609344100
35,34359687877,21,105,5,True,6/100,6.0,2586881625.12,116280,22760723700
