group,dev,s,row_idx,col_idx,time_ms,minors_tested,matrix,is_principal,prime
28,3,9,"0,9,10,12,23","3,9,10,11,19",6981.449,82991025.0,kernel_28_10.txt,False,268435399
28,3,11,"6,11,12,13,16","6,11,12,13,20",8445.7839,100102275.0,kernel_28_11.txt,False,268435399
28,3,7,"4,7,8,18,23","1,6,7,8,19",5542.175,65879775.0,kernel_28_13.txt,False,268435399
28,3,18,"6,11,18,19,21","0,8,18,19,24",13536.001,159991650.0,kernel_28_14.txt,False,268435399
28,3,8,"8,9,12,13,21","8,9,11,14,27",6430.3572,77000625.0,kernel_28_15.txt,False,268435399
28,3,7,"3,4,7,8,9","7,8,13,22,24",5742.73,68445000.0,kernel_28_18.txt,False,268435399
28,3,5,"1,5,6,12,19","3,5,6,11,23",4083.8079,48768525.0,kernel_28_20.txt,False,268435399
28,3,7,"7,8,17,21,22","0,7,8,16,18",5502.6501,65879775.0,kernel_28_21.txt,False,268435399
28,3,2,"2,3,5,16,17","2,3,5,19,22",1924.332,23101650.0,kernel_28_23.txt,False,268435399
28,3,15,"8,14,15,16,18","1,15,16,22,23",11332.6028,134324775.0,kernel_28_24.txt,False,268435399
28,3,21,"5,13,17,21,22","14,21,22,25,26",16017.6631,188223750.0,kernel_28_25.txt,False,268435399
28,3,1,"1,2,6,22,27","1,2,4,7,27",1218.0581,14546025.0,kernel_28_26.txt,False,268435399
28,3,5,"5,6,8,18,27","2,5,6,17,26",4056.9351,48768525.0,kernel_28_28.txt,False,268435399
28,3,7,"5,7,8,21,23","2,4,6,7,8",5505.3511,65879775.0,kernel_28_31.txt,False,268435399
28,3,10,"5,10,11,12,17","1,3,10,11,19",7715.0391,91546650.0,kernel_28_32.txt,False,268435399
28,3,1,"1,2,4,9,28","1,2,6,19,25",1218.8821,14546025.0,kernel_28_36.txt,False,268435399
28,3,15,"15,16,19,24,25","9,13,15,16,18",11578.8081,136890000.0,kernel_28_39.txt,False,268435399
28,3,18,"3,18,19,21,27","14,18,19,21,27",13731.374,162556875.0,kernel_28_4.txt,False,268435399
28,3,3,"3,4,9,10,20","3,4,18,27,28",2843.5071,34222500.0,kernel_28_40.txt,False,268435399
28,3,0,"0,1,7,15,17","0,1,19,21,26",705.6829,8555625.0,kernel_28_45.txt,False,268435399
28,3,9,"0,2,9,10,28","1,9,10,11,23",7009.875,82991025.0,kernel_28_46.txt,False,268435399
28,3,20,"1,8,12,20,21","8,9,19,20,21",15335.2449,177102900.0,kernel_28_5.txt,False,268435399
28,3,18,"6,13,18,19,23","6,15,18,19,22",13546.675,159991650.0,kernel_28_51.txt,False,268435399
28,3,17,"7,14,16,17,18","7,17,18,19,26",12799.8911,151436025.0,kernel_28_53.txt,False,268435399
28,3,10,"4,10,11,19,25","0,4,10,11,15",7678.0029,91546650.0,kernel_28_54.txt,False,268435399
28,3,8,"8,9,17,21,28","2,6,8,9,23",6251.3481,74435400.0,kernel_28_55.txt,False,268435399
28,3,3,"3,4,9,12,27","3,4,6,11,27",2630.4399,31657275.0,kernel_28_57.txt,False,268435399
28,3,5,"5,6,7,11,12","1,5,6,10,20",4090.292,48768525.0,kernel_28_59.txt,False,268435399
28,3,6,"6,7,15,17,24","6,7,10,15,18",4793.9619,57324150.0,kernel_28_6.txt,False,268435399
28,3,3,"3,4,14,21,26","3,4,5,13,25",2639.147,31657275.0,kernel_28_60.txt,False,268435399
28,3,6,"6,7,9,13,21","6,7,9,15,19",4804.2751,57324150.0,kernel_28_62.txt,False,268435399
28,3,20,"4,8,13,20,21","3,13,20,21,25",14988.9512,177102900.0,kernel_28_63.txt,False,268435399
28,3,26,"1,8,26,27,28","1,12,23,26,27",19467.7168,228436650.0,kernel_28_65.txt,False,268435399
28,3,23,"7,21,23,24,26","11,13,18,23,24",17419.4719,205335000.0,kernel_28_66.txt,False,268435399
28,3,1,"1,2,5,6,9","1,2,7,9,24",1208.114,14546025.0,kernel_28_68.txt,False,268435399
28,3,6,"6,7,9,11,15","6,7,13,16,25",5019.4729,59889375.0,kernel_28_70.txt,False,268435399
28,3,3,"3,4,9,12,18","3,4,6,16,23",2643.0762,31657275.0,kernel_28_71.txt,False,268435399
28,3,21,"3,21,22,23,26","4,18,19,21,22",15815.3389,185658525.0,kernel_28_72.txt,False,268435399
