Processing 2x2 minors...
Matrix size: 8x8
Total minors: 784
Rows: 0 1 | Cols: 0 1 | Det: 385
Rows: 0 1 | Cols: 0 2 | Det: -2292
Rows: 0 1 | Cols: 0 3 | Det: -2244
Rows: 0 1 | Cols: 0 4 | Det: -1834
Rows: 0 1 | Cols: 0 5 | Det: -2358
Rows: 0 1 | Cols: 0 6 | Det: -2530
Rows: 0 1 | Cols: 0 7 | Det: -2762
Rows: 0 1 | Cols: 1 2 | Det: -2279
Rows: 0 1 | Cols: 1 3 | Det: -2453
Rows: 0 1 | Cols: 1 4 | Det: -1533
Rows: 0 1 | Cols: 1 5 | Det: -2136
Rows: 0 1 | Cols: 1 6 | Det: -2090
Rows: 0 1 | Cols: 1 7 | Det: -2789
Rows: 0 1 | Cols: 2 3 | Det: 1320
Rows: 0 1 | Cols: 2 4 | Det: -1730
Rows: 0 1 | Cols: 2 5 | Det: -1242
Rows: 0 1 | Cols: 2 6 | Det: -2534
Rows: 0 1 | Cols: 2 7 | Det: 254
Rows: 0 1 | Cols: 3 4 | Det: -2750
Rows: 0 1 | Cols: 3 5 | Det: -2574
Rows: 0 1 | Cols: 3 6 | Det: -3938
Rows: 0 1 | Cols: 3 7 | Det: -1342
Rows: 0 1 | Cols: 4 5 | Det: 786
Rows: 0 1 | Cols: 4 6 | Det: -118
Rows: 0 1 | Cols: 4 7 | Det: 2288
Rows: 0 1 | Cols: 5 6 | Det: -1236
Rows: 0 1 | Cols: 5 7 | Det: 1758
Rows: 0 1 | Cols: 6 7 | Det: 3334
Rows: 0 2 | Cols: 0 1 | Det: 1256
Rows: 0 2 | Cols: 0 2 | Det: -1018
Rows: 0 2 | Cols: 0 3 | Det: -1230
Rows: 0 2 | Cols: 0 4 | Det: -508
Rows: 0 2 | Cols: 0 5 | Det: -850
Rows: 0 2 | Cols: 0 6 | Det: -931
Rows: 0 2 | Cols: 0 7 | Det: -318
Rows: 0 2 | Cols: 1 2 | Det: -6938
Rows: 0 2 | Cols: 1 3 | Det: -7534
Rows: 0 2 | Cols: 1 4 | Det: -4580
Rows: 0 2 | Cols: 1 5 | Det: -6442
Rows: 0 2 | Cols: 1 6 | Det: -6255
Rows: 0 2 | Cols: 1 7 | Det: -8430
Rows: 0 2 | Cols: 2 3 | Det: -688
Rows: 0 2 | Cols: 2 4 | Det: 906
Rows: 0 2 | Cols: 2 5 | Det: 526
Rows: 0 2 | Cols: 2 6 | Det: -73
Rows: 0 2 | Cols: 2 7 | Det: 5076
Rows: 0 2 | Cols: 3 4 | Det: 1438
Rows: 0 2 | Cols: 3 5 | Det: 1210
Rows: 0 2 | Cols: 3 6 | Det: 541
Rows: 0 2 | Cols: 3 7 | Det: 6348
Rows: 0 2 | Cols: 4 5 | Det: -494
Rows: 0 2 | Cols: 4 6 | Det: -865
Rows: 0 2 | Cols: 4 7 | Det: 2250
Rows: 0 2 | Cols: 5 6 | Det: -542
Rows: 0 2 | Cols: 5 7 | Det: 4074
Rows: 0 2 | Cols: 6 7 | Det: 4665
Rows: 0 3 | Cols: 0 1 | Det: 701
Rows: 0 3 | Cols: 0 2 | Det: -1865
Rows: 0 3 | Cols: 0 3 | Det: -2638
Rows: 0 3 | Cols: 0 4 | Det: -1243
Rows: 0 3 | Cols: 0 5 | Det: -2380
Rows: 0 3 | Cols: 0 6 | Det: -2131
Rows: 0 3 | Cols: 0 7 | Det: -2596
Rows: 0 3 | Cols: 1 2 | Det: -3972
Rows: 0 3 | Cols: 1 3 | Det: -4355
Rows: 0 3 | Cols: 1 4 | Det: -2630
Rows: 0 3 | Cols: 1 5 | Det: -3742
Rows: 0 3 | Cols: 1 6 | Det: -3615
Rows: 0 3 | Cols: 1 7 | Det: -4891
Rows: 0 3 | Cols: 2 3 | Det: -3361
Rows: 0 3 | Cols: 2 4 | Det: -46
Rows: 0 3 | Cols: 2 5 | Det: -3530
Rows: 0 3 | Cols: 2 6 | Det: -2457
Rows: 0 3 | Cols: 2 7 | Det: -1697
Rows: 0 3 | Cols: 3 4 | Det: 2175
Rows: 0 3 | Cols: 3 5 | Det: -704
Rows: 0 3 | Cols: 3 6 | Det: 365
Rows: 0 3 | Cols: 3 7 | Det: 2278
Rows: 0 3 | Cols: 4 5 | Det: -2294
Rows: 0 3 | Cols: 4 6 | Det: -1585
Rows: 0 3 | Cols: 4 7 | Det: -1067
Rows: 0 3 | Cols: 5 6 | Det: 898
Rows: 0 3 | Cols: 5 7 | Det: 2748
