Number of k×k minors in a 40x40 matrix:
---------------------------------------------
 k	Total k×k minors
 2	608400
 3	97614400
 4	8352132100
 5	432974528064
 6	14733161024400
 7	347582329473600
 8	5914330574949225
 9	74768821095654400
 10	718528370729238784
 11	5344425897986073600
 12	12766187733278558784
 13	15671244363788633088
 14	3606014461105428736
 15	13211650461532652544
 16	2783450048088676676
 17	15122072106420451584
 18	16149890534691315264
 19	5811790459669350656
 20	1519111802252427920
 21	5811790459669350656
 22	16149890534691315264
 23	15122072106420451584
 24	2783450048088676676
 25	13211650461532652544
 26	3606014461105428736
 27	15671244363788633088
 28	12766187733278558784
 29	5344425897986073600
 30	718528370729238784
 31	74768821095654400
 32	5914330574949225
 33	347582329473600
 34	14733161024400
 35	432974528064
 36	8352132100
 37	97614400
 38	608400
 39	1600
 40	1
---------------------------------------------
