Processing 3x3 minors...
Matrix size: 8x8
Total minors: 3136
Rows: 0 1 2 | Cols: 0 1 2 | Det: 191294
Rows: 0 1 2 | Cols: 0 1 3 | Det: 180378
Rows: 0 1 2 | Cols: 0 1 4 | Det: 162148
Rows: 0 1 2 | Cols: 0 1 5 | Det: 202646
Rows: 0 1 2 | Cols: 0 1 6 | Det: 216865
Rows: 0 1 2 | Cols: 0 1 7 | Det: 257434
Rows: 0 1 2 | Cols: 0 2 3 | Det: 41136
Rows: 0 1 2 | Cols: 0 2 4 | Det: -54052
Rows: 0 1 2 | Cols: 0 2 5 | Det: -34788
Rows: 0 1 2 | Cols: 0 2 6 | Det: -33976
Rows: 0 1 2 | Cols: 0 2 7 | Det: -160220
Rows: 0 1 2 | Cols: 0 3 4 | Det: -85836
Rows: 0 1 2 | Cols: 0 3 5 | Det: -76380
Rows: 0 1 2 | Cols: 0 3 6 | Det: -78672
Rows: 0 1 2 | Cols: 0 3 7 | Det: -206436
Rows: 0 1 2 | Cols: 0 4 5 | Det: 27772
Rows: 0 1 2 | Cols: 0 4 6 | Det: 32478
Rows: 0 1 2 | Cols: 0 4 7 | Det: -63068
Rows: 0 1 2 | Cols: 0 5 6 | Det: 3446
Rows: 0 1 2 | Cols: 0 5 7 | Det: -122912
Rows: 0 1 2 | Cols: 0 6 7 | Det: -135914
Rows: 0 1 2 | Cols: 1 2 3 | Det: 151072
Rows: 0 1 2 | Cols: 1 2 4 | Det: -198134
Rows: 0 1 2 | Cols: 1 2 5 | Det: -138250
Rows: 0 1 2 | Cols: 1 2 6 | Det: -245275
Rows: 0 1 2 | Cols: 1 2 7 | Det: -138112
Rows: 0 1 2 | Cols: 1 3 4 | Det: -314882
Rows: 0 1 2 | Cols: 1 3 5 | Det: -290398
Rows: 0 1 2 | Cols: 1 3 6 | Det: -402545
Rows: 0 1 2 | Cols: 1 3 7 | Det: -333536
Rows: 0 1 2 | Cols: 1 4 5 | Det: 92706
Rows: 0 1 2 | Cols: 1 4 6 | Det: 16715
Rows: 0 1 2 | Cols: 1 4 7 | Det: 149570
Rows: 0 1 2 | Cols: 1 5 6 | Det: -103100
Rows: 0 1 2 | Cols: 1 5 7 | Det: 39742
Rows: 0 1 2 | Cols: 1 6 7 | Det: 173505
