Processing 2x2 minors...
Matrix size: 9x9
Total minors: 1296
Rows: 0 1 | Cols: 0 1 | Det: 6102
Rows: 0 1 | Cols: 0 2 | Det: -594
Rows: 0 1 | Cols: 0 3 | Det: 4529
Rows: 0 1 | Cols: 0 4 | Det: 2135
Rows: 0 1 | Cols: 0 5 | Det: 3549
Rows: 0 1 | Cols: 0 6 | Det: -3257
Rows: 0 1 | Cols: 0 7 | Det: -1040
Rows: 0 1 | Cols: 0 8 | Det: -3689
Rows: 0 1 | Cols: 1 2 | Det: -3888
Rows: 0 1 | Cols: 1 3 | Det: -3064
Rows: 0 1 | Cols: 1 4 | Det: -58
Rows: 0 1 | Cols: 1 5 | Det: -4938
Rows: 0 1 | Cols: 1 6 | Det: -6608
Rows: 0 1 | Cols: 1 7 | Det: -5102
Rows: 0 1 | Cols: 1 8 | Det: -6662
Rows: 0 1 | Cols: 2 3 | Det: 3184
Rows: 0 1 | Cols: 2 4 | Det: 1366
Rows: 0 1 | Cols: 2 5 | Det: 2742
Rows: 0 1 | Cols: 2 6 | Det: -1432
Rows: 0 1 | Cols: 2 7 | Det: -166
Rows: 0 1 | Cols: 2 8 | Det: -1702
Rows: 0 1 | Cols: 3 4 | Det: 1029
Rows: 0 1 | Cols: 3 5 | Det: -1883
Rows: 0 1 | Cols: 3 6 | Det: -6540
Rows: 0 1 | Cols: 3 7 | Det: -4309
Rows: 0 1 | Cols: 3 8 | Det: -6797
Rows: 0 1 | Cols: 4 5 | Det: -1694
Rows: 0 1 | Cols: 4 6 | Det: -2343
Rows: 0 1 | Cols: 4 7 | Det: -1795
Rows: 0 1 | Cols: 4 8 | Det: -2366
Rows: 0 1 | Cols: 5 6 | Det: -6479
Rows: 0 1 | Cols: 5 7 | Det: -3809
Rows: 0 1 | Cols: 5 8 | Det: -6860
Rows: 0 1 | Cols: 6 7 | Det: 1597
Rows: 0 1 | Cols: 6 8 | Det: -439
Rows: 0 1 | Cols: 7 8 | Det: -1949
Rows: 0 2 | Cols: 0 1 | Det: 5087
Rows: 0 2 | Cols: 0 2 | Det: 3156
Rows: 0 2 | Cols: 0 3 | Det: -4331
Rows: 0 2 | Cols: 0 4 | Det: 1825
Rows: 0 2 | Cols: 0 5 | Det: -3616
Rows: 0 2 | Cols: 0 6 | Det: -6472
Rows: 0 2 | Cols: 0 7 | Det: 435
Rows: 0 2 | Cols: 0 8 | Det: -2674
Rows: 0 2 | Cols: 1 2 | Det: -2242
Rows: 0 2 | Cols: 1 3 | Det: -4773
Rows: 0 2 | Cols: 1 4 | Det: -36
Rows: 0 2 | Cols: 1 5 | Det: -5916
Rows: 0 2 | Cols: 1 6 | Det: -6537
Rows: 0 2 | Cols: 1 7 | Det: -3897
Rows: 0 2 | Cols: 1 8 | Det: -5444
Rows: 0 2 | Cols: 2 3 | Det: -4870
Rows: 0 2 | Cols: 2 4 | Det: 782
Rows: 0 2 | Cols: 2 5 | Det: -5264
Rows: 0 2 | Cols: 2 6 | Det: -6908
Rows: 0 2 | Cols: 2 7 | Det: -2226
Rows: 0 2 | Cols: 2 8 | Det: -4556
Rows: 0 2 | Cols: 3 4 | Det: 1743
Rows: 0 2 | Cols: 3 5 | Det: 1644
Rows: 0 2 | Cols: 3 6 | Det: -507
Rows: 0 2 | Cols: 3 7 | Det: 3726
Rows: 0 2 | Cols: 3 8 | Det: 2126
Rows: 0 2 | Cols: 4 5 | Det: -2148
Rows: 0 2 | Cols: 4 6 | Det: -2391
Rows: 0 2 | Cols: 4 7 | Det: -1395
Rows: 0 2 | Cols: 4 8 | Det: -1972
Rows: 0 2 | Cols: 5 6 | Det: -2880
Rows: 0 2 | Cols: 5 7 | Det: 3276
Rows: 0 2 | Cols: 5 8 | Det: 760
Rows: 0 2 | Cols: 6 7 | Det: 5517
Rows: 0 2 | Cols: 6 8 | Det: 3490
Rows: 0 2 | Cols: 7 8 | Det: -2514
Rows: 0 3 | Cols: 0 1 | Det: 1123
Rows: 0 3 | Cols: 0 2 | Det: -5146
Rows: 0 3 | Cols: 0 3 | Det: 2766
Rows: 0 3 | Cols: 0 4 | Det: 7630
Rows: 0 3 | Cols: 0 5 | Det: -864
Rows: 0 3 | Cols: 0 6 | Det: -6383
Rows: 0 3 | Cols: 0 7 | Det: -1675
Rows: 0 3 | Cols: 0 8 | Det: -4296
Rows: 0 3 | Cols: 1 2 | Det: -2094
Rows: 0 3 | Cols: 1 3 | Det: -35
Rows: 0 3 | Cols: 1 4 | Det: 1970
Rows: 0 3 | Cols: 1 5 | Det: -1324
Rows: 0 3 | Cols: 1 6 | Det: -2799
Rows: 0 3 | Cols: 1 7 | Det: -1345
