Processing 3x3 minors...
Matrix size: 9x9
Total minors: 7056
Rows: 0 1 2 | Cols: 0 1 2 | Det: 234522
Rows: 0 1 2 | Cols: 0 1 3 | Det: -520703
Rows: 0 1 2 | Cols: 0 1 4 | Det: 2899
Rows: 0 1 2 | Cols: 0 1 5 | Det: -422301
Rows: 0 1 2 | Cols: 0 1 6 | Det: -241303
Rows: 0 1 2 | Cols: 0 1 7 | Det: 83630
Rows: 0 1 2 | Cols: 0 1 8 | Det: 25781
Rows: 0 1 2 | Cols: 0 2 3 | Det: -123378
Rows: 0 1 2 | Cols: 0 2 4 | Det: -82338
Rows: 0 1 2 | Cols: 0 2 5 | Det: -95292
Rows: 0 1 2 | Cols: 0 2 6 | Det: 148668
Rows: 0 1 2 | Cols: 0 2 7 | Det: 31830
Rows: 0 1 2 | Cols: 0 2 8 | Det: 139272
Rows: 0 1 2 | Cols: 0 3 4 | Det: 184338
Rows: 0 1 2 | Cols: 0 3 5 | Det: -10591
Rows: 0 1 2 | Cols: 0 3 6 | Det: -457029
Rows: 0 1 2 | Cols: 0 3 7 | Det: -26675
Rows: 0 1 2 | Cols: 0 3 8 | Det: -295659
Rows: 0 1 2 | Cols: 0 4 5 | Det: -149443
Rows: 0 1 2 | Cols: 0 4 6 | Det: -82881
Rows: 0 1 2 | Cols: 0 4 7 | Det: 29755
Rows: 0 1 2 | Cols: 0 4 8 | Det: 10773
Rows: 0 1 2 | Cols: 0 5 6 | Det: -365752
Rows: 0 1 2 | Cols: 0 5 7 | Det: -23335
Rows: 0 1 2 | Cols: 0 5 8 | Det: -240310
Rows: 0 1 2 | Cols: 0 6 7 | Det: -85765
Rows: 0 1 2 | Cols: 0 6 8 | Det: -159642
Rows: 0 1 2 | Cols: 0 7 8 | Det: 46165
Rows: 0 1 2 | Cols: 1 2 3 | Det: 449536
Rows: 0 1 2 | Cols: 1 2 4 | Det: 382
Rows: 0 1 2 | Cols: 1 2 5 | Det: 458862
Rows: 0 1 2 | Cols: 1 2 6 | Det: 407720
Rows: 0 1 2 | Cols: 1 2 7 | Det: 142802
Rows: 0 1 2 | Cols: 1 2 8 | Det: 239618
Rows: 0 1 2 | Cols: 1 3 4 | Det: -6405
Rows: 0 1 2 | Cols: 1 3 5 | Det: -209325
Rows: 0 1 2 | Cols: 1 3 6 | Det: -442716
Rows: 0 1 2 | Cols: 1 3 7 | Det: -477363
Rows: 0 1 2 | Cols: 1 3 8 | Det: -581435
Rows: 0 1 2 | Cols: 1 4 5 | Det: 6360
Rows: 0 1 2 | Cols: 1 4 6 | Det: 5433
Rows: 0 1 2 | Cols: 1 4 7 | Det: 1629
Rows: 0 1 2 | Cols: 1 4 8 | Det: 2920
Rows: 0 1 2 | Cols: 1 5 6 | Det: -262047
Rows: 0 1 2 | Cols: 1 5 7 | Det: -420771
Rows: 0 1 2 | Cols: 1 5 8 | Det: -481920
Rows: 0 1 2 | Cols: 1 6 7 | Det: -292323
Rows: 0 1 2 | Cols: 1 6 8 | Det: -291367
Rows: 0 1 2 | Cols: 1 7 8 | Det: 69749
Rows: 0 1 2 | Cols: 2 3 4 | Det: 157626
Rows: 0 1 2 | Cols: 2 3 5 | Det: -58742
Rows: 0 1 2 | Cols: 2 3 6 | Det: -499464
